Item Name,Category,Time Period,Selling Price (MYR),COGS (MYR),Margin %,Key Ingredients,Equipment Needed,Notes
Loaded Nachos,Lunch Hot,11:30am-2:30pm,10.00,4.50,55.0%,Chips + cheese + salsa + jalapenos,Prep,Snack lunch
Pumpkin Soup (bowl + bread),Soups,11:30am-2:30pm,9.00,3.00,66.7%,Pumpkin + cream + spices + bread,Soup pot,Vegetarian
Creamy Mushroom Soup,Soups,11:30am-2:30pm,10.00,3.50,65.0%,Mushrooms + cream + herbs + bread,Soup pot,Rich
Chicken & Vegetable Soup,Soups,11:30am-2:30pm,10.00,4.00,60.0%,Chicken + mixed veg + stock + bread,Soup pot,Hearty
Minestrone Soup,Soups,11:30am-2:30pm,9.00,3.20,64.4%,Vegetables + beans + pasta + tomato + bread,Soup pot,Italian
Tomato & Basil Soup,Soups,11:30am-2:30pm,9.00,3.00,66.7%,Tomatoes + basil + cream + bread,Soup pot,Classic
Sweet Corn Soup,Soups,11:30am-2:30pm,8.00,2.50,68.8%,Corn + cream + stock + bread,Soup pot,Asian
Soup + Toastie Combo,Lunch Combos,11:30am-2:30pm,14.00,6.00,57.1%,Any soup + cheese toastie,Combo,Value bundle
Soup + Sandwich Combo,Lunch Combos,11:30am-2:30pm,15.00,7.00,53.3%,Any soup + sandwich,Combo,Full lunch
Basil Pesto Pasta,Pasta,11:30am-2:30pm,18.00,6.50,63.9%,Pasta + pesto + parmesan + pine nuts,Fryer/prep,Vegetarian
Carbonara,Pasta,11:30am-2:30pm,22.00,8.50,61.4%,Pasta + egg + bacon + cream + parmesan,Fryer/prep,Rich indulgent
Creamy Mushroom Pasta,Pasta,11:30am-2:30pm,20.00,7.50,62.5%,Pasta + mushrooms + cream + parmesan,Fryer/prep,Vegetarian
Aglio Olio,Pasta,11:30am-2:30pm,16.00,5.50,65.6%,Pasta + garlic + olive oil + chili + parsley,Fryer/prep,Simple light
Arrabbiata,Pasta,11:30am-2:30pm,17.00,6.00,64.7%,Pasta + tomato + chili + garlic + herbs,Fryer/prep,Spicy
Bolognese,Pasta,11:30am-2:30pm,22.00,8.50,61.4%,Pasta + meat sauce + parmesan,Fryer/prep,Hearty
Chicken Alfredo Pasta,Pasta,11:30am-2:30pm,24.00,9.50,60.4%,Pasta + chicken + cream + parmesan,Fryer/prep,Creamy protein
Smoked Salmon Pasta,Pasta,11:30am-2:30pm,26.00,11.00,57.7%,Pasta + smoked salmon + cream + dill,Fryer/prep,Premium
Pasta + Salad Combo,Pasta Combos,11:30am-2:30pm,28.00,10.00,64.3%,Any pasta + side salad,Combo,Complete meal
Caesar Salad,Salads,11:30am-2:30pm,12.00,4.50,62.5%,Romaine + caesar dressing + croutons + parmesan,Prep,Classic
Caesar Salad with Chicken,Salads,11:30am-2:30pm,16.00,7.00,56.3%,Caesar + grilled chicken,Prep,Protein boost
Garden Salad,Salads,11:30am-2:30pm,10.00,3.50,65.0%,Mixed greens + tomato + cucumber + dressing,Prep,Light
Greek Salad,Salads,11:30am-2:30pm,13.00,5.50,57.7%,Cucumber + tomato + feta + olives + onion,Prep,Mediterranean
Chicken Salad,Salads,11:30am-2:30pm,14.00,6.00,57.1%,Mixed greens + grilled chicken + dressing,Prep,Protein
Tuna Salad,Salads,11:30am-2:30pm,13.00,5.50,57.7%,Mixed greens + tuna + eggs + dressing,Prep,Protein
Asian Chicken Salad,Salads,11:30am-2:30pm,14.00,6.00,57.1%,Greens + chicken + sesame dressing + crispy noodles,Prep,Asian
Quinoa Salad,Salads,11:30am-2:30pm,13.00,5.50,57.7%,Quinoa + roasted veg + feta + lemon dressing,Prep,Superfood
Nasi Lemak Bungkus,Local,11:30am-2:30pm,8.00,3.50,56.3%,Rice + sambal + anchovies + egg + peanuts (wrapped),Prep,National dish
Nasi Lemak Plate,Local,11:30am-2:30pm,12.00,5.50,54.2%,Rice + sambal + chicken + egg + cucumber,Prep,With chicken
Mee Goreng,Local,11:30am-2:30pm,10.00,4.50,55.0%,Noodles + soy + chili + veg + egg,Prep,If equipment
Kuey Teow Goreng,Local,11:30am-2:30pm,10.00,4.50,55.0%,Flat noodles + soy + egg + veg,Prep,If equipment
Roti Canai (2 pcs + curry),Local,11:30am-2:30pm,8.00,3.50,56.3%,Roti + dal curry,Prep,If supplier
Curry Puff (2 pieces),Local,11:30am-2:30pm,7.00,3.00,57.1%,Pre-made curry puff,Air fryer,Snack
Curry Laksa,Local,11:30am-2:30pm,12.00,5.50,54.2%,Noodles + curry soup + tofu + egg,Prep,Soup pot
Rojak,Local,11:30am-2:30pm,9.00,4.50,50.0%,Fruit + veg + rojak sauce + peanuts,Prep,Local snack
Classic Brownie,Afternoon Sweets,After 2:30pm,6.00,3.00,50.0%,Chocolate + butter + sugar + eggs + flour,Ambient,Dense chocolate
Belgium Fudge Brownie,Afternoon Sweets,After 2:30pm,7.50,3.80,49.3%,Premium chocolate + butter + sugar + eggs,Ambient,Premium
Blondie,Afternoon Sweets,After 2:30pm,6.50,3.20,50.8%,White chocolate + butter + sugar + eggs,Ambient,Vanilla
Chocolate Chip Cookie,Afternoon Sweets,After 2:30pm,4.00,2.00,50.0%,Flour + butter + sugar + chocolate chips,Ambient,Classic
Double Chocolate Cookie,Afternoon Sweets,After 2:30pm,5.00,2.50,50.0%,Flour + butter + sugar + cocoa + chocolate,Ambient,Extra choc
Nutella Cookie,Afternoon Sweets,After 2:30pm,6.00,3.00,50.0%,Flour + butter + sugar + Nutella,Ambient,Hazelnut
Sea Salt Chocolate Cookie,Afternoon Sweets,After 2:30pm,5.50,2.80,49.1%,Flour + butter + chocolate + sea salt,Ambient,Gourmet
Raspberry Double Choc Cookie,Afternoon Sweets,After 2:30pm,6.00,3.00,50.0%,Flour + butter + chocolate + raspberries,Ambient,Fruit+choc
Red Velvet Cookie,Afternoon Sweets,After 2:30pm,5.50,2.80,49.1%,Flour + butter + cocoa + red coloring + cream cheese,Ambient,Trendy
Uji Matcha Cookie,Afternoon Sweets,After 2:30pm,6.50,3.50,46.2%,Flour + butter + matcha powder + white chocolate,Ambient,Japanese
Macadamia White Choc Cookie,Afternoon Sweets,After 2:30pm,6.50,3.50,46.2%,Flour + butter + white choc + macadamia,Ambient,Premium nuts
Oat & Raisin Cookie,Afternoon Sweets,After 2:30pm,4.50,2.20,51.1%,Oats + flour + butter + raisins + cinnamon,Ambient,Healthy-ish
Peanut Butter Cookie,Afternoon Sweets,After 2:30pm,5.00,2.40,52.0%,Flour + butter + peanut butter + sugar,Ambient,Nutty
Cheese & Crackers,Afternoon Snacks,After 2:30pm,8.00,4.00,50.0%,Cheese selection + crackers,Prep,Savory
Hummus & Veggie Sticks,Afternoon Snacks,After 2:30pm,9.00,4.50,50.0%,Hummus + carrot + cucumber + celery,Prep,Healthy
Popcorn (Sweet/Savory),Afternoon Snacks,After 2:30pm,5.00,2.50,50.0%,Popcorn + seasoning,Prep,Snack
Chips/Crisps,Afternoon Snacks,After 2:30pm,4.00,2.00,50.0%,Packaged chips,Ambient,Savory
Nuts (Mixed Pack),Afternoon Snacks,After 2:30pm,5.00,2.50,50.0%,Mixed nuts (small pack),Ambient,Healthy
Granola Bar,Afternoon Snacks,After 2:30pm,5.50,2.80,49.1%,Pre-made granola bar,Ambient,Energy
Energy Ball (Protein/Date),Afternoon Snacks,After 2:30pm,4.50,2.20,51.1%,Dates + nuts + protein powder,Ambient,Healthy
Fruit Cup,Afternoon Snacks,After 2:30pm,7.00,3.50,50.0%,Fresh mixed fruit,Fridge,Fresh
Yogurt Parfait,Afternoon Snacks,After 2:30pm,8.00,4.00,50.0%,Yogurt + granola + fruit (layered),Fridge,Healthy
Iced Latte,Cold Drinks,After 2:30pm,9.00,3.50,61.1%,Espresso + milk + ice,Fridge,Cold coffee
Iced Americano,Cold Drinks,After 2:30pm,8.00,2.50,68.8%,Espresso + water + ice,Fridge,Cold black
Iced Matcha Latte,Cold Drinks,After 2:30pm,12.00,5.00,58.3%,Matcha + milk + ice,Fridge,Japanese trend
Iced Chocolate,Cold Drinks,After 2:30pm,10.00,4.00,60.0%,Chocolate + milk + ice,Fridge,Cold sweet
Cold Brew,Cold Drinks,After 2:30pm,10.00,3.00,70.0%,Cold brewed coffee + ice,Fridge,Smooth
Lemon Iced Tea,Cold Drinks,After 2:30pm,8.00,3.00,62.5%,Tea + lemon + sugar + ice,Fridge,Refreshing
Peach Iced Tea,Cold Drinks,After 2:30pm,9.00,3.50,61.1%,Tea + peach + sugar + ice,Fridge,Fruity
Fresh Juice (Orange/Apple),Cold Drinks,After 2:30pm,10.00,4.00,60.0%,Fresh squeezed juice,Fridge,Healthy
Smoothie (Banana/Berry),Cold Drinks,After 2:30pm,12.00,5.00,58.3%,Fruit + yogurt + ice blended,Fridge,Thick
Milkshake,Cold Drinks,After 2:30pm,13.00,5.50,57.7%,Ice cream + milk blended,Fridge,Indulgent
Frappuccino,Cold Drinks,After 2:30pm,14.00,6.00,57.1%,Coffee + ice cream + ice blended,Fridge,Blended ice
Affogato,Cold Drinks,After 2:30pm,11.00,4.50,59.1%,Espresso poured over ice cream,Fridge,Dessert coffee
Sparkling Lemonade,Cold Drinks,After 2:30pm,8.00,3.00,62.5%,Lemon juice + sugar + sparkling water + ice,Fridge,Refreshing
Kombucha,Cold Drinks,After 2:30pm,12.00,6.00,50.0%,Fermented tea,Fridge,Health trend
Whole Banana Bread Loaf,Take Home,After 2:30pm,25.00,12.00,52.0%,Whole loaf banana bread,Ambient,Take home
Cookie Gift Box (6 pcs),Take Home,After 2:30pm,30.00,15.00,50.0%,6 assorted cookies in box,Ambient,Gift
Coffee Beans 250g,Retail,After 2:30pm,35.00,15.00,57.1%,250g bag roasted beans,Ambient,Retail
Coffee Beans 1kg,Retail,After 2:30pm,120.00,50.00,58.3%,1kg bag roasted beans,Ambient,Retail
Thunder Mug,Merchandise,After 2:30pm,25.00,10.00,60.0%,Branded ceramic mug,Ambient,Merch
Thunder Tote Bag,Merchandise,After 2:30pm,20.00,8.00,60.0%,Branded canvas bag,Ambient,Merch
